frequency_hz,magnitude
0,8.47891e-05
46.875,0.000198014
93.75,0.000172232
140.625,0.000499854
187.5,0.0015276
234.375,0.00361773
281.25,0.00763522
328.125,0.0126273
375,0.0220853
421.875,0.021618
468.75,0.0040502
515.625,0.0149784
562.5,0.030579
609.375,0.0282947
656.25,0.0209858
703.125,0.00901139
750,0.0239057
796.875,0.0204859
843.75,0.024159
890.625,0.0309929
937.5,0.0360652
984.375,0.0397427
1031.25,0.0492171
1078.12,0.0466858
1125,0.0217165
1171.88,0.0164378
1218.75,0.0091429
1265.62,0.00636589
1312.5,0.00344153
1359.38,0.00298049
1406.25,0.00488277
1453.12,0.00458982
1500,0.00369104
1546.88,0.00910252
1593.75,0.0207059
1640.62,0.019049
1687.5,0.0114947
1734.38,0.00832624
1781.25,0.00998709
1828.12,0.00818476
1875,0.0118518
1921.88,0.0172703
1968.75,0.00409075
2015.62,0.00972499
2062.5,0.025593
2109.38,0.0132239
2156.25,0.0157202
2203.12,0.00745227
2250,0.0133753
2296.88,0.0185103
2343.75,0.00631406
2390.62,0.0149192
2437.5,0.00973677
2484.38,0.00741948
2531.25,0.0169551
2578.12,0.00808159
2625,0.00903686
2671.88,0.00549542
2718.75,0.00152311
2765.62,0.00138687
2812.5,0.00238321
2859.38,0.00957937
2906.25,0.0199883
2953.12,0.0139996
3000,0.00845326
3046.88,0.0210597
3093.75,0.0308923
3140.62,0.0394337
3187.5,0.0116273
3234.38,0.0126587
3281.25,0.0227293
3328.12,0.0121699
3375,0.0172374
3421.88,0.0357884
3468.75,0.0376681
3515.62,0.0113917
3562.5,0.0235585
3609.38,0.0279089
3656.25,0.0295948
3703.12,0.0288574
3750,0.017701
3796.88,0.0157036
3843.75,0.00877168
3890.62,0.026619
3937.5,0.042538
3984.38,0.0339003
4031.25,0.0177323
4078.12,0.023334
4125,0.0295436
4171.88,0.0331144
4218.75,0.0162909
4265.62,0.0114333
4312.5,0.0270979
4359.38,0.0262989
4406.25,0.0198625
4453.12,0.0356389
4500,0.0525251
4546.88,0.0411346
4593.75,0.0350349
4640.62,0.0504336
4687.5,0.0383567
4734.38,0.082124
4781.25,0.0596609
4828.12,0.0278266
4875,0.0415224
4921.88,0.0281092
4968.75,0.0476285
5015.62,0.0438068
5062.5,0.0334505
5109.38,0.0159187
5156.25,0.0321964
5203.12,0.107318
5250,0.086684
5296.88,0.050522
5343.75,0.0741346
5390.62,0.0418629
5437.5,0.0272728
5484.38,0.0527951
5531.25,0.0730033
5578.12,0.0351584
5625,0.0464926
5671.88,0.0134081
5718.75,0.0313432
5765.62,0.0402222
5812.5,0.0128498
5859.38,0.0244295
5906.25,0.0603403
5953.12,0.040532
6000,0.0301343
6046.88,0.0486539
6093.75,0.0578502
6140.62,0.128656
6187.5,0.152665
6234.38,0.0603792
6281.25,0.18313
6328.12,0.212298
6375,0.132673
6421.88,0.114297
6468.75,0.194011
6515.62,0.33848
6562.5,0.542698
6609.38,0.727324
6656.25,0.388464
6703.12,0.442874
6750,0.704228
6796.88,0.665612
6843.75,0.92825
6890.62,1.18879
6937.5,0.910308
6984.38,1.08841
7031.25,1.2269
7078.12,1.02907
7125,1.5679
7171.88,1.86105
7218.75,2.18532
7265.62,2.16626
7312.5,1.09503
7359.38,10.2203
7406.25,13.5013
7453.12,4.93012
7500,5.95387
7546.88,6.88455
7593.75,3.75858
7640.62,1.64735
7687.5,0.40099
7734.38,0.170465
7781.25,0.588744
7828.12,0.757908
7875,0.81305
7921.88,0.461581
7968.75,0.0758402
8015.62,0.230145
8062.5,0.227192
8109.38,0.200223
8156.25,0.246009
8203.12,0.194683
8250,0.0798754
8296.88,0.0976093
8343.75,0.134987
8390.62,0.079768
8437.5,0.118483
8484.38,0.15081
8531.25,0.152447
8578.12,0.156315
8625,0.0647202
8671.88,0.0872388
8718.75,0.223485
8765.62,0.22532
8812.5,0.138317
8859.38,0.143073
8906.25,0.100291
8953.12,0.0998749
9000,0.115509
9046.88,0.0561775
9093.75,0.101019
9140.62,0.210299
9187.5,0.21439
9234.38,0.105469
9281.25,0.135238
9328.12,0.0937954
9375,0.0104192
9421.88,0.0648084
9468.75,0.114005
9515.62,0.0938798
9562.5,0.105433
9609.38,0.0540134
9656.25,0.0347688
9703.12,0.0313355
9750,0.0646381
9796.88,0.0509302
9843.75,0.0254165
9890.62,0.0272436
9937.5,0.0070389
9984.38,0.0280156
10031.2,0.0214371
10078.1,0.00868693
10125,0.0161172
10171.9,0.0208518
10218.8,0.0092255
10265.6,0.0198206
10312.5,0.0378069
10359.4,0.0544566
10406.2,0.0601396
10453.1,0.0677486
10500,0.0540984
10546.9,0.0867356
10593.8,0.106147
10640.6,0.0813176
10687.5,0.0175031
10734.4,0.0177753
10781.2,0.0337958
10828.1,0.00688984
10875,0.0175979
10921.9,0.0432469
10968.8,0.0367539
11015.6,0.0285925
11062.5,0.00267598
11109.4,0.0570652
11156.2,0.0706457
11203.1,0.0649881
11250,0.0323057
11296.9,0.0390155
11343.8,0.0550644
11390.6,0.0356929
11437.5,0.0358591
11484.4,0.0450528
11531.2,0.0120569
11578.1,0.0251195
11625,0.050725
