frequency_hz,magnitude
0,0.000787649
0.732422,0.000852834
1.46484,0.00087241
2.19727,0.00190048
2.92969,0.000522729
3.66211,0.0011687
4.39453,0.0020074
5.12695,0.00237915
5.85938,0.00127653
6.5918,0.00113007
7.32422,0.00122183
8.05664,0.00195666
8.78906,0.00168851
9.52148,0.00282943
10.2539,0.00106877
10.9863,0.000792711
11.7188,0.00086609
12.4512,0.00175301
13.1836,0.000719179
13.916,0.00292146
14.6484,0.000871935
15.3809,0.000270761
16.1133,0.000364481
16.8457,0.00195108
17.5781,0.000959298
18.3105,0.000565155
19.043,0.00119106
19.7754,0.00115719
20.5078,0.00148345
21.2402,0.000511248
21.9727,0.000531042
22.7051,0.000487554
23.4375,0.00121643
24.1699,0.00180123
24.9023,0.000830487
25.6348,0.00182341
26.3672,0.0018964
27.0996,0.00147886
27.832,0.00256344
28.5645,0.00201664
29.2969,0.00255399
30.0293,0.000414925
30.7617,0.00085469
31.4941,0.00108305
32.2266,0.00185953
32.959,0.00228133
33.6914,0.00089838
34.4238,0.0013499
35.1562,0.000936145
35.8887,0.00113022
36.6211,0.000685418
37.3535,0.00092945
38.0859,0.0024434
38.8184,0.000952976
39.5508,0.00212369
40.2832,0.00123704
41.0156,0.00124666
41.748,0.00142855
42.4805,0.00150582
43.2129,0.00191659
43.9453,0.00095942
44.6777,0.00117599
45.4102,0.000653432
46.1426,0.00148931
46.875,0.000571098
47.6074,0.00123278
48.3398,0.00140139
49.0723,0.00159581
49.8047,0.00179704
50.5371,0.000398397
51.2695,0.00232327
52.002,0.00098841
52.7344,0.000533643
53.4668,0.00273699
54.1992,0.00164374
54.9316,0.000428382
55.6641,0.00151685
56.3965,0.000284725
57.1289,0.00181195
57.8613,0.00109578
58.5938,0.000654998
59.3262,0.00164909
60.0586,0.000400466
60.791,0.000434144
61.5234,0.00250838
62.2559,0.00136729
62.9883,0.0017803
63.7207,0.00120772
64.4531,0.00122384
65.1855,0.00170026
65.918,0.00125765
66.6504,0.000987428
67.3828,0.000519577
68.1152,0.00141269
68.8477,0.000774925
69.5801,0.00129917
70.3125,0.000832476
71.0449,0.00138461
71.7773,0.000659271
72.5098,0.00291783
73.2422,0.000872007
73.9746,0.000963247
74.707,0.0010694
75.4395,0.0013688
76.1719,0.000597975
76.9043,0.00197907
77.6367,0.000492114
78.3691,0.000399638
79.1016,0.000398678
79.834,0.00043234
80.5664,0.00120129
81.2988,0.00140928
82.0312,0.000898149
82.7637,0.00119011
83.4961,0.00168546
84.2285,0.00162371
84.9609,0.000231113
85.6934,0.00134485
86.4258,0.00162921
87.1582,0.0014229
87.8906,0.000640494
88.623,0.00116554
89.3555,0.00163555
90.0879,0.00139407
90.8203,0.000796754
91.5527,0.000784023
92.2852,0.000956811
93.0176,0.00179203
93.75,0.00215163
94.4824,0.00302477
95.2148,0.00312567
95.9473,0.00226587
96.6797,0.00100061
97.4121,0.0014717
98.1445,0.000513332
98.877,0.000933686
99.6094,0.00164898
100.342,0.000866486
101.074,0.00185362
101.807,0.000852865
102.539,0.00113796
103.271,0.0018143
104.004,0.00201894
104.736,0.00266957
105.469,0.000837142
106.201,0.00236016
106.934,0.0017261
107.666,0.000787061
108.398,0.000697844
109.131,0.000827625
109.863,0.00186392
110.596,0.000138754
111.328,0.00128769
112.061,0.00113437
112.793,0.00176043
113.525,0.0014652
114.258,0.00134678
114.99,0.000514549
115.723,0.0022233
116.455,0.000725892
117.188,0.00142354
117.92,0.00105067
118.652,0.000603717
119.385,0.000262503
120.117,0.00152305
120.85,0.000659271
121.582,0.0019586
122.314,0.00239447
123.047,0.0018927
123.779,0.00181046
124.512,0.000652677
125.244,0.000933896
125.977,0.00214959
126.709,0.00227915
127.441,0.00361341
128.174,0.00222412
128.906,0.00234261
129.639,0.00170052
130.371,0.00134383
131.104,0.00286855
131.836,0.000989304
132.568,0.00213695
133.301,0.000478828
134.033,0.00289039
134.766,0.00089395
135.498,0.00162168
136.23,0.000648908
136.963,0.000570237
137.695,0.00229237
138.428,0.00257229
139.16,0.00303255
139.893,0.00275234
140.625,0.00200706
141.357,0.00171858
142.09,0.000512258
142.822,0.00197425
143.555,0.00222005
144.287,0.000891003
145.02,0.00134159
145.752,0.00158785
146.484,0.00135687
147.217,0.00121178
147.949,0.0018838
148.682,0.00156826
149.414,0.001087
150.146,0.00323847
150.879,0.00226822
151.611,0.00111052
152.344,0.00181681
153.076,0.00154867
153.809,0.00114463
154.541,0.00133949
155.273,0.000566863
156.006,0.00283118
156.738,0.00183653
157.471,0.0027741
158.203,0.00448353
158.936,0.00229581
159.668,0.00220921
160.4,0.00157396
161.133,0.00182207
161.865,0.00119758
162.598,0.00097756
163.33,0.00355146
164.062,0.00304035
164.795,0.00125865
165.527,0.00415486
166.26,0.00259184
166.992,0.00477594
167.725,0.00405898
168.457,0.0038452
169.189,0.00564584
169.922,0.00328928
170.654,0.00499542
171.387,0.00268483
172.119,0.0014675
172.852,0.00322994
173.584,0.003514
174.316,0.00677108
175.049,0.00462324
175.781,0.00265653
176.514,0.00388821
177.246,0.00222591
177.979,0.00412951
178.711,0.00208599
179.443,0.00552457
180.176,0.00786539
180.908,0.00944021
181.641,0.0092427
182.373,0.0113181
183.105,0.00591484
183.838,0.00887866
184.57,0.0121161
185.303,0.00996144
186.035,0.00202102
186.768,0.00678759
187.5,0.0139782
188.232,0.018588
188.965,0.0102293
189.697,0.00410474
190.43,0.00804411
191.162,0.00126922
191.895,0.0108214
192.627,0.0178238
193.359,0.0110545
194.092,0.0044146
194.824,0.0184659
195.557,0.00952482
196.289,0.0165859
197.021,0.0213
197.754,0.0143887
198.486,0.00493982
199.219,0.00223328
199.951,0.0143848
200.684,0.00550043
201.416,0.0213525
202.148,0.0267023
202.881,0.0280025
203.613,0.0203734
204.346,0.00455212
205.078,0.0119528
205.811,0.0196546
206.543,0.0252929
207.275,0.0169838
208.008,0.0346073
208.74,0.013832
209.473,0.00804488
210.205,0.025227
210.938,0.0472367
211.67,0.0583102
212.402,0.0402571
213.135,0.00631481
213.867,0.0155813
214.6,0.0444712
215.332,0.0723043
216.064,0.0540337
216.797,0.0122351
217.529,0.0260708
218.262,0.028874
218.994,0.0360908
219.727,0.0118305
220.459,0.0143404
221.191,0.030973
221.924,0.0523076
222.656,0.0180501
223.389,0.0456114
224.121,0.0605118
224.854,0.0131084
225.586,0.0762564
226.318,0.0620049
227.051,0.0502681
227.783,0.0387888
228.516,0.060379
229.248,0.0588954
229.98,0.0665738
230.713,0.0427146
231.445,0.0297859
232.178,0.00494489
232.91,0.0298053
233.643,0.0159469
234.375,0.0747415
235.107,0.0662644
235.84,0.0728848
236.572,0.0817288
237.305,0.043201
238.037,0.0804738
238.77,0.0476064
239.502,0.022884
240.234,0.0751584
240.967,0.101153
241.699,0.093862
242.432,0.119403
243.164,0.101056
243.896,0.0445267
244.629,0.0843598
245.361,0.0527416
246.094,0.0493782
246.826,0.0364908
247.559,0.0767995
248.291,0.10179
249.023,0.11435
249.756,0.0708562
250.488,0.0302074
251.221,0.0940906
251.953,0.0799851
252.686,0.080727
253.418,0.0968253
254.15,0.042575
254.883,0.108419
255.615,0.115399
256.348,0.119404
257.08,0.0574629
257.812,0.071921
258.545,0.101375
259.277,0.0294528
260.01,0.0708374
260.742,0.0305766
261.475,0.106138
262.207,0.103281
262.939,0.0763746
263.672,0.0318372
264.404,0.0110412
265.137,0.03313
265.869,0.0363689
266.602,0.0479079
267.334,0.0951286
268.066,0.12587
268.799,0.0549078
269.531,0.0667175
270.264,0.113091
270.996,0.0418982
271.729,0.113706
272.461,0.160204
273.193,0.0935407
273.926,0.065623
274.658,0.0174843
275.391,0.0237207
276.123,0.0526364
276.855,0.0708258
277.588,0.154254
278.32,0.104712
279.053,0.106783
279.785,0.103527
280.518,0.204525
281.25,0.140464
281.982,0.045625
282.715,0.116897
283.447,0.0692942
284.18,0.0900591
284.912,0.080493
285.645,0.101299
286.377,0.214041
287.109,0.13054
287.842,0.0249958
288.574,0.174331
289.307,0.170801
290.039,0.106623
290.771,0.11353
291.504,0.0920456
292.236,0.0594877
292.969,0.101682
293.701,0.195313
294.434,0.0745463
295.166,0.0464586
295.898,0.135956
296.631,0.0104542
297.363,0.163298
298.096,0.153672
298.828,0.0877476
299.561,0.0142498
300.293,0.155636
301.025,0.0861403
301.758,0.0510926
302.49,0.0748008
303.223,0.0841512
303.955,0.10866
304.688,0.160342
305.42,0.135368
306.152,0.113302
306.885,0.175592
307.617,0.19115
308.35,0.173029
309.082,0.147497
309.814,0.0819228
310.547,0.117005
311.279,0.208357
312.012,0.243986
312.744,0.122934
313.477,0.0421669
314.209,0.0141422
314.941,0.0626924
315.674,0.0936194
316.406,0.0688264
317.139,0.0855751
317.871,0.0904421
318.604,0.142496
319.336,0.108698
320.068,0.0505789
320.801,0.0762607
321.533,0.0780194
322.266,0.0615825
322.998,0.188147
323.73,0.242791
324.463,0.188742
325.195,0.211937
325.928,0.10993
326.66,0.204636
327.393,0.118663
328.125,0.128254
328.857,0.125991
329.59,0.159355
330.322,0.0781623
331.055,0.145158
331.787,0.15279
332.52,0.193788
333.252,0.0462306
333.984,0.209931
334.717,0.276582
335.449,0.132806
336.182,0.0736496
336.914,0.101421
337.646,0.0544966
338.379,0.210504
339.111,0.154762
339.844,0.111018
340.576,0.136361
341.309,0.10811
342.041,0.182626
342.773,0.105822
343.506,0.106433
344.238,0.139007
344.971,0.0884433
