timestamp,sensor,value
2026-02-19T00:00:00,S1,15.932
2026-02-19T00:00:00,S2,24.75
2026-02-19T00:00:00,S3,5.028
2026-02-19T00:00:00,S4,6.947
2026-02-19T00:05:00,S1,15.716
2026-02-19T00:05:00,S2,24.738
2026-02-19T00:05:00,S3,5.108
2026-02-19T00:05:00,S4,6.912
2026-02-19T00:10:00,S1,15.674
2026-02-19T00:10:00,S2,25.12
2026-02-19T00:10:00,S3,4.95
2026-02-19T00:10:00,S4,6.853
2026-02-19T00:15:00,S1,15.964
2026-02-19T00:15:00,S2,24.048
2026-02-19T00:15:00,S3,4.854
2026-02-19T00:15:00,S4,6.851
2026-02-19T00:20:00,S1,15.566
2026-02-19T00:20:77,S1,15.566
2026-02-19T00:20:00,S2,25.084
2026-02-19T00:20:00,S3,4.925
2026-02-19T00:20:00,S4,6.812
2026-02-19T00:25:00,S1,16.476
2026-02-19T00:25:00,S2,24.877
2026-02-19T00:25:00,S3,5.008
2026-02-19T00:25:00,S4,6.814
2026-02-19T00:30:00,S1,15.815
2026-02-19T00:30:00,S2,25.064
2026-02-19T00:30:00,S3,4.916
2026-02-19T00:30:00,S4,6.907
2026-02-19T00:35:00,S1,15.838
2026-02-19T00:35:00,S2,24.92
2026-02-19T00:35:00,S3,4.965
2026-02-19T00:35:00,S4,6.984
2026-02-19T00:40:00,S1,16.087
2026-02-19T00:40:00,S2,24.613
2026-02-19T00:40:00,S3,5.085
2026-02-19T00:40:00,S4,6.834
2026-02-19T00:45:00,S1,16.209
2026-02-19T00:45:00,S2,24.246
2026-02-19T00:45:00,S3,4.918
2026-02-19T00:45:00,S4,6.908
2026-02-19T00:50:00,S1,16.439
2026-02-19T00:50:00,S2,25.245
2026-02-19T00:50:00,S3,5.02
2026-02-19T00:50:00,S4,6.886
2026-02-19T00:55:00,S1,15.707
2026-02-19T00:55:00,S2,24.885
2026-02-19T00:55:00,S3,4.998
2026-02-19T00:55:00,S4,6.957
2026-02-19T01:00:00,S1,16.39
2026-02-19T01:00:00,S2,24.457
2026-02-19T01:00:00,S3,5.066
2026-02-19T01:00:00,S4,6.888
2026-02-19T01:05:00,S1,16.079
2026-02-19T01:05:00,S2,25.568
2026-02-19T01:05:00,S3,5.128
2026-02-19T01:05:00,S4,6.958
2026-02-19T01:10:00,S1,16.068
2026-02-19T01:10:00,S2,25.197
2026-02-19T01:10:00,S3,5.078
2026-02-19T01:10:00,S4,6.963
2026-02-19T01:15:00,S1,16.24
2026-02-19T01:15:00,S2,25.296
2026-02-19T01:15:00,S3,4.968
2026-02-19T01:15:00,S4,6.858
2026-02-19T01:20:00,S1,16.738
2026-02-19T01:20:00,S2,26.035
2026-02-19T01:20:00,S3,5.057
2026-02-19T01:20:00,S4,6.972
2026-02-19T01:25:00,S1,16.627
2026-02-19T01:25:00,S2,25.18
2026-02-19T01:25:00,S3,5.097
2026-02-19T01:25:00,S4,7.002
2026-02-19T01:30:00,S1,16.535
2026-02-19T01:30:00,S2,26.22
2026-02-19T01:30:00,S3,4.864
2026-02-19T01:30:00,S4,6.97
2026-02-19T01:35:00,S1,16.625
2026-02-19T01:35:00,S2,25.429
2026-02-19T01:35:00,S3,5.086
2026-02-19T01:35:00,S4,6.833
2026-02-19T01:40:00,S1,16.565
2026-02-19T01:40:00,S2,25.772
2026-02-19T01:40:00,S3,5.202
2026-02-19T01:40:00,S4,6.91
2026-02-19T01:45:00,S1,16.406
2026-02-19T01:45:00,S2,25.433
2026-02-19T01:45:00,S3,5.163
2026-02-19T01:45:00,S4,6.956
2026-02-19T01:50:00,S1,16.551
2026-02-19T01:50:00,S2,25.939
2026-02-19T01:50:00,S3,5.103
2026-02-19T01:50:00,S4,6.992
2026-02-19T01:55:00,S1,16.539
2026-02-19T01:55:00,S2,25.61
2026-02-19T01:55:00,S3,5.069
2026-02-19T01:55:00,S4,6.874
2026-02-19T02:00:00,S1,16.936
2026-02-19T02:00:00,S2,25.925
2026-02-19T02:00:00,S3,5.106
2026-02-19T02:00:00,S4,6.939
2026-02-19T02:05:00,S1,16.385
2026-02-19T02:05:00,S2,25.669
2026-02-19T02:05:00,S3,5.083
2026-02-19T02:05:00,S4,6.915
2026-02-19T02:10:00,S1,16.871
2026-02-19T02:10:00,S2,26.091
2026-02-19T02:10:00,S3,5.267
2026-02-19T02:10:00,S4,6.967
2026-02-19T02:15:00,S1,17.066
2026-02-19T02:15:00,S2,25.928
2026-02-19T02:15:00,S3,4.968
2026-02-19T02:15:00,S4,6.961
2026-02-19T02:20:00,S1,17.045
2026-02-19T02:20:00,S2,27.122
2026-02-19T02:20:00,S3,5.111
2026-02-19T02:20:00,S4,6.981
2026-02-19T02:25:00,S1,17.06
2026-02-19T02:25:00,S2,25.54
2026-02-19T02:25:00,S3,5.223
2026-02-19T02:25:00,S4,7.008
2026-02-19T02:30:00,S1,17.397
2026-02-19T02:30:00,S2,25.71
2026-02-19T02:30:00,S3,5.249
2026-02-19T02:30:00,S4,6.904
2026-02-19T02:35:00,S1,17.373
2026-02-19T02:35:00,S2,27.159
2026-02-19T02:35:00,S3,5.063
2026-02-19T02:35:00,S4,6.949
2026-02-19T02:40:00,S1,17.25
2026-02-19T02:40:00,S2,26.0
2026-02-19T02:40:00,S3,5.023
2026-02-19T02:40:00,S4,6.985
2026-02-19T02:45:00,S1,16.891
2026-02-19T02:45:00,S2,26.494
2026-02-19T02:45:00,S3,5.078
2026-02-19T02:45:00,S4,7.063
2026-02-19T02:50:00,S1,17.037
2026-02-19T02:50:00,S2,26.191
2026-02-19T02:50:00,S3,5.222
2026-02-19T02:50:00,S4,6.928
2026-02-19T02:55:00,S1,17.438
2026-02-19T02:55:00,S2,26.979
2026-02-19T02:55:00,S3,5.033
2026-02-19T02:55:00,S4,7.003
2026-02-19T03:00:00,S1,17.497
2026-02-19T03:00:00,S2,26.798
2026-02-19T03:00:00,S3,5.068
2026-02-19T03:00:00,S4,6.931
2026-02-19T03:05:00,S1,17.635
2026-02-19T03:05:00,S2,26.636
2026-02-19T03:05:00,S3,5.191
2026-02-19T03:05:00,S4,7.019
2026-02-19T03:10:00,S1,17.261
2026-02-19T03:10:00,S2,26.662
2026-02-19T03:10:00,S3,5.2
2026-02-19T03:10:00,S4,6.97
2026-02-19T03:15:00,S1,18.199
2026-02-19T03:15:00,S2,26.827
2026-02-19T03:15:00,S3,5.086
2026-02-19T03:15:00,S4,7.042
2026-02-19T03:20:00,S1,17.251
2026-02-19T03:20:00,S2,27.024
2026-02-19T03:20:00,S3,5.278
2026-02-19T03:20:00,S4,6.972
2026-02-19T03:25:00,S1,17.976
2026-02-19T03:25:00,S2,26.912
2026-02-19T03:25:00,S3,5.256
2026-02-19T03:25:00,S4,7.112
2026-02-19T03:30:00,S1,17.598
2026-02-19T03:30:00,S2,26.443
